w = 0.0122, b = 8.0
w = 4.554388, b = 8.0928545
w = 2.3001175, b = 8.181623
w = 3.418903, b = 8.266486
w = 2.8636541, b = 8.347615
w = 3.1392221, b = 8.425175
w = 3.0024586, b = 8.499321
w = 3.070334, b = 8.570205
w = 3.0366476, b = 8.63797
w = 3.053366, b = 8.702753
w = 3.0450687, b = 8.764686
w = 3.0491867, b = 8.823894
w = 3.047143, b = 8.880496
w = 3.0481572, b = 8.934608
w = 3.047654, b = 8.98634
w = 3.0479035, b = 9.035795
w = 3.0477798, b = 9.083075
w = 3.047841, b = 9.128273
w = 3.0478108, b = 9.171483
w = 3.0478258, b = 9.212792
w = 3.0478184, b = 9.252284
w = 3.047822, b = 9.290038
w = 3.0478203, b = 9.326131
w = 3.047821, b = 9.360635
w = 3.0478208, b = 9.393621
w = 3.0478208, b = 9.425157
w = 3.0478208, b = 9.455304
w = 3.0478208, b = 9.484125
w = 3.0478208, b = 9.511678
w = 3.0478208, b = 9.538018
w = 3.0478208, b = 9.5632
w = 3.0478208, b = 9.587274
w = 3.0478208, b = 9.610288
w = 3.0478208, b = 9.632289
w = 3.0478208, b = 9.653322
w = 3.0478208, b = 9.67343
w = 3.0478208, b = 9.692654
w = 3.0478208, b = 9.711031
w = 3.0478208, b = 9.7286
w = 3.0478208, b = 9.745396
w = 3.0478208, b = 9.761453
w = 3.0478208, b = 9.776803
w = 3.0478208, b = 9.791478
w = 3.0478208, b = 9.805508
w = 3.0478208, b = 9.818919
w = 3.0478208, b = 9.831741
w = 3.0478208, b = 9.843999
w = 3.0478208, b = 9.855717
w = 3.0478208, b = 9.8669195
w = 3.0478208, b = 9.877629
w = 3.0478208, b = 9.887868
w = 3.0478208, b = 9.8976555
w = 3.0478208, b = 9.907013
w = 3.0478208, b = 9.915958
w = 3.0478208, b = 9.92451
w = 3.0478208, b = 9.932686
w = 3.0478208, b = 9.940502
w = 3.0478208, b = 9.947974
w = 3.0478208, b = 9.955117
w = 3.0478208, b = 9.9619465
w = 3.0478208, b = 9.968475
